course,hear_ccm_website,hear_social_media,hear_community_event,hear_family_friend,hear_ccm_student,hear_highschool_teacher,hear_highschool_counselor,hear_inapp_ad,hear_employer,hear_billboard,hear_television,hear_radio,hear_other,impact_cost,impact_location,impact_programs,impact_online,impact_referral,impact_faculty,impact_reputation,impact_class_size,impact_transfer,impact_negative_experience,event_open_house,event_instant_decision,event_info session on campus,event_titans tuesday,event_women who dare,event_college fair,event_HS sharetime,event_challenger program,event_cybersecruity program,event_info session from school,event_high school visit,event_individual visit,event_workforce development,event_cooperate training,event_teen arts festivial,event_summer camp at CCM,major,gender
CMP 128 Computer Science I,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,High Impact,,,,,,,High Impact,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Computer Science,Man
CMP 128 Computer Science I,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No Impact,Some Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Computer Science,Man
CMP 128 Computer Science I,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,High Impact,Some Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Nan,Man
CMP 128 Computer Science I,Yes,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,High Impact,Some Impact,Some Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Nan,Man
CMP 128 Computer Science I,Yes,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Nan,Man
CMP 128 Computer Science I,No,No,No,Yes,No,No,No,No,No,No,No,No,No,High Impact,Some Impact,High Impact,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Nan,Man
CMP 128 Computer Science I,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No Impact,High Impact,Some Impact,High Impact,High Impact,Some Impact,,High Impact,,High Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Nan,Man
CMP 128 Computer Science I,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Computer Science,Man
CMP 128 Computer Science I,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Computer Science,Man
CMP 128 Computer Science I,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Yes,No Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Computer Science,Man
CMP 128 Computer Science I,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No Impact,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,,,,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Science,Man
CMP 128 Computer Science I,Yes,Don't recall,No,No,No,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Business,Man
CMP 128 Computer Science I,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Engineering,Man
CMP 131 Fundamentals of Programming (Python),No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Some Impact,Some Impact,Some Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Computer Science,Man
